TGL_LAHIR,JENIS_KELAMIN,TANGGAL_DAFTAR,KECAMATAN,PENDIDIKAN,JURUSAN,TAHUN_LULUS,Keterampilan,UPAH_DIINGINKAN,JABATAN_DIINGINKAN,WILAYAH_DIINGINKAN,WILAYAH_DIINGINKAN_DETAIL,UMUR_SAAT_DAFTAR,original_index,JABATAN_DIINGINKAN_Normalized,wilayah_diinginkan_detail_normalized
2003-08-11,L,2021-11-08,TAWANG,SMK,TEKNIK LISTRIK,2021.0,OLAHRAGA INSTALASI WORDEXCEL,Rp 5.000.001 - Rp 10.000.000,MANAGER LEADER OPERATOR PRODUCTION,DI DALAM NEGERI,TASIKMALAYA BEKASI CIKARANG,18,40,produksi/operasional,tasikmalaya
2000-04-24,P,2021-11-08,KAWALU,SMK,FARMASI,2019.0,,Rp 1.000.001 - Rp 2.500.000,FARMASI,DI DALAM NEGERI,TASIKMALAYA,21,41,tenaga kesehatan (umum),tasikmalaya
1989-07-06,P,2021-11-08,BUNGURSARI,S1,ILMU KOMUNIKASI,2012.0,PUBLIC SPEAKING,Rp 5.000.001 - Rp 10.000.000,HOTEL,DI LUAR NEGERI,AMERIKA,32,42,hotel/restoran,lokasi tidak spesifik
2003-05-21,P,2021-11-08,PURBARATU,SMK,TEKNIK KOMPUTER DAN JARINGAN,2021.0,,Rp 2.500.001 - Rp 5.000.000,KARYAWAN,DI DALAM NEGERI,LUAR KOTA,18,43,pekerja umum,lokasi tidak spesifik
2002-08-16,P,2021-11-08,PURBARATU,SMA / LAINNYA,TEKNOLOGI KOMPUTER JARINGAN ,2021.0,BADMINTON,Rp 2.500.001 - Rp 5.000.000,KARYAWAN,DI DALAM NEGERI,LUAR KOTA,19,44,pekerja umum,lokasi tidak spesifik
1992-06-16,L,2021-11-09,INDIHIANG,S1,ILMU POLITIK,2018.0,BASKET SEPAK BOLA ALAT MUSIK,> Rp 10.000.000,SEKRETARIA DAERAH,DI DALAM NEGERI,TASIKMALAYA,29,45,administrasi/staf umum,tasikmalaya
1998-02-09,L,2021-11-08,CIPEDES,SMK,TKR,2016.0,OLAHRAGA,Rp 1.000.001 - Rp 2.500.000,KARYAWAN ,DI DALAM NEGERI,CIANJUR,23,46,pekerja umum,cianjur
1998-05-04,L,2021-11-08,BUNGURSARI,SMK,TEHNIK KENDARAAN RINGAN,2016.0,OLAHRAGA  BERMUSIK,Rp 5.000.001 - Rp 10.000.000,APA AJA,DI DALAM NEGERI,TASIKMALAYA,23,47,lain-lain,tasikmalaya
2002-06-12,P,2021-11-09,INDIHIANG,SMA / LAINNYA,IPS,2021.0,SINGING,Rp 1.000.001 - Rp 2.500.000,AKUNTANSI,DI DALAM NEGERI,TASIKMALAYA,19,48,keuangan/akuntansi/perbankan,tasikmalaya
1802-08-19,L,2021-11-09,PURBARATU,D.III,PARIWISATA DAN PERHOTELAN,2003.0,,Rp 5.000.001 - Rp 10.000.000,ABK,DI DALAM NEGERI,JABODETABEK,219,49,lain-lain,jakarta
